,ID,Name,Search Alias,Category,Latitude,Longitude,Address,City,State,Zip Code
1221,yLTWSz_3kmB35n20V1E6YQ,Children's Museum of Sonoma County,childrensmuseums,Children's Museums,38.460948,-122.737092,1835 W Steele Ln,Santa Rosa,CA,95403
1222,OFkaWuRp3VLqWpmb_hvltg,California Indian Museum & Cultural Center,museums,Museums,38.50888,-122.764542,5250 Aero Dr,Santa Rosa,CA,95403
1223,JMV4dm4RkiUJYs9fMsFj8Q,Pacific Coast Air Museum,museums,Museums,38.5065247254838,-122.802071174842,One Air Museum Way,Santa Rosa,CA,95403
1224,G2dRPlfa-sOJENiuFSmylA,Museums of Sonoma County,museums,Museums,38.441874,-122.718389,425 7th St,Santa Rosa,CA,95401
1225,RR8ffdyOQMAmZjQH6yvLCA,Hand Fan Museu,museums,Museums,38.6090239,-122.8704332,219 Healdsburg Ave,Healdsburg,CA,95448
1226,jv-ABtBhtMjQOpKkaDWDzA,Cloverdale Historical Society,museums,Museums,38.8067321777344,-123.018585205078,215 N Cloverdale Blvd,Cloverdale,CA,95425
1227,Vsm2nqBejhd8ZQOgDgBIkA,Davis Estates,wineries,Wineries,38.569374,-122.515846,4060 Silverado Trl N,Calistoga,CA,94515
1228,9l9mVFh0FQ4aY29GtFtXZw,Bale Grist Mill State Historic Park,parks,Parks,38.541081,-122.509097328207,3369 Saint Helena Hwy N,St. Helena,CA,94574
1229,SDYqtb_VATb4bIQR5wsqyw,Francis Ford Coppola Winery,wineries,Wineries,38.6784075719865,-122.889633178711,300 Via Archimedes,Geyserville,CA,95441
1230,w0ZTfVv6fjTV-2Hqk7rqkQ,Environmental Discovery Center,museums,Museums,38.4542159874401,-122.648955013271,393 Violetti Rd,Santa Rosa,CA,95409
1231,jop7bPVI8kW-noTNZwoN8Q,Pride Mountain Vineyards,wineries,Wineries,38.525948230939,-122.5628240291,4026 Spring Mountain Rd,St. Helena,CA,94574
1232,9LLyitNfsxANa_BC3vS7yw,Paul Mahder Gallery,venues,Venues & Event Spaces,38.6091206967831,-122.8701415658,222 Healdsburg Ave,Healdsburg,CA,95448
1233,ygDdZsqpboUEll7nzSyxpA,Ca' Toga,galleries,Art Galleries,38.592813,-122.598932,3061 Myrtledale Rd,Calistoga,CA,94515
