Zipcode,Year,Life Expectancy
94043,2000,80.89
95111,2000,77.57
94512,2000,76.01
94805,2000,78.71
94517,2000,80.43
94801,2000,72.96
94510,2000,78.83
94510,2000,78.83
94510,2000,78.83
94510,2000,78.83
94545,2000,76.05
94963,2000,78.67
94963,2000,78.67
95122,2000,79.14
95008,2000,79.46
95620,2000,79.20
95620,2000,79.20
95620,2000,79.20
95620,2000,79.20
94621,2000,71.67
94579,2000,78.15
94539,2000,81.49
95439,2000,78.52
94922,2000,79.81
94565,2000,76.19
94565,2000,76.19
94565,2000,76.19
94565,2000,76.19
94022,2000,82.81
94566,2000,79.75
94605,2000,74.26
94089,2000,79.19
95436,2000,78.18
95436,2000,78.18
94601,2000,75.05
94080,2000,78.17
94951,2000,77.37
95441,2000,76.21
95441,2000,76.21
94567,2000,81.04
94574,2000,81.04
94115,2000,75.81
94523,2000,78.91
95130,2000,78.97
94070,2013,84.81
94553,2013,79.84
94528,2013,85.85
94960,2013,83.36
94611,2013,84.59
94612,2013,79.65
94951,2013,82.52
94606,2013,79.36
94972,2013,82.92
94062,2013,83.98
94619,2013,80.31
94542,2013,81.44
94586,2013,81.33
94582,2013,85.64
94109,2013,81.08
94956,2013,84.09
95070,2013,84.80
94592,2013,76.58
95035,2013,84.30
94511,2013,78.05
94024,2013,85.19
94595,2013,84.30
95441,2013,81.62
94104,2013,81.61
95118,2013,81.30
94937,2013,84.09
95126,2013,81.80
95620,2013,79.90
94523,2013,80.52
95050,2013,80.84
95405,2013,81.31
95119,2013,82.49
95461,2013,84.94
94564,2013,80.20
94502,2013,84.11
94520,2013,79.11
94549,2013,84.22
94559,2013,81.41
94303,2013,83.02
95492,2013,82.49
95404,2013,81.19
95053,2013,80.84
94402,2013,83.73
95450,2013,82.92
95033,2013,81.51
95132,2013,82.45
94596,2013,83.49
95014,2013,85.88
94063,2013,80.54
95452,2013,77.17
94922,2013,82.92
94571,2013,79.23
95625,2013,78.55
94115,2013,81.46
94602,2013,81.79
94306,2013,85.51
94618,2013,84.89
94931,2013,82.52
94585,2013,79.28
94970,2013,84.09
95442,2013,77.17
94507,2013,84.55
94939,2013,82.80
94574,2013,84.94
94801,2013,77.96
94578,2013,79.41
94301,2013,85.39
95131,2013,85.59
94806,2013,78.62
95139,2013,82.49
94599,2013,80.07
94590,2013,76.58
94133,2013,83.50
94946,2013,84.09
94545,2013,80.07
94903,2013,82.24
94118,2013,84.73
94568,2013,82.77
94533,2013,79.40
94028,2013,85.00
95694,2013,80.28
95112,2013,81.52
94580,2013,80.57
94901,2013,83.41
94552,2013,84.53
95471,2013,78.81
94404,2013,85.75
95122,2013,81.67
94014,2013,81.85
94089,2013,81.61
95486,2013,82.92
94111,2013,81.61
94965,2013,83.98
94803,2013,79.44
94709,2013,84.02
94558,2013,80.07
94132,2013,83.54
94510,2013,80.82
94134,2013,81.94
94621,2013,74.33
94022,2013,85.00
94501,2013,81.36
94546,2013,81.16
94952,2013,81.49
94704,2013,81.19
95046,2013,81.07
94605,2013,76.58
95037,2013,82.43
94608,2013,77.33
94121,2013,84.11
95054,2013,81.56
95401,2013,79.95
94305,2013,84.69
95128,2013,79.70
95032,2013,83.84
94065,2013,86.00
95002,2013,81.67
95472,2013,82.40
94005,2013,81.85
94539,2013,85.45
94086,2013,83.83
94534,2013,82.63
94505,2013,84.76
95030,2013,81.51
94010,2013,83.60
94401,2013,82.41
95690,2013,79.23
95391,2013,84.76
94037,2013,81.36
94060,2013,83.03
94569,2013,79.84
94850,2013,77.93
94702,2013,80.99
94587,2013,82.48
94933,2013,85.98
94924,2013,84.09
95436,2013,81.16
95136,2013,81.61
94720,2013,81.19
94963,2013,85.98
95439,2013,80.42
95407,2013,78.72
94158,2013,82.54
94508,2013,84.94
94124,2013,77.40
95446,2013,78.81
94403,2013,83.07
94925,2013,82.70
94043,2013,84.17
94128,2013,82.20
95403,2013,80.42
95148,2013,83.91
94514,2013,84.76
95110,2013,80.99
94597,2013,83.81
94002,2013,83.77
95687,2013,78.55
94541,2013,77.90
94703,2013,81.43
94567,2013,84.94
94127,2013,84.66
95121,2013,84.42
95497,2013,82.92
94579,2013,81.88
94928,2013,79.82
94548,2013,81.09
94920,2013,85.68
94519,2013,80.07
94025,2013,85.04
94516,2013,86.38
95138,2013,82.43
94904,2013,84.20
94080,2013,82.20
94575,2013,85.14
94547,2013,82.09
95431,2013,77.17
94710,2013,80.99
94515,2013,84.94
94591,2013,79.82
94021,2013,83.03
95135,2013,84.49
94122,2013,83.86
95127,2013,81.67
94607,2013,78.00
94544,2013,79.82
94609,2013,78.00
94940,2013,84.09
94105,2013,81.61
95465,2013,82.92
94015,2013,82.65
94565,2013,78.18
94114,2013,83.09
95476,2013,81.45
95688,2013,80.28
94945,2013,81.66
95425,2013,81.62
94123,2013,84.34
95013,2013,82.43
94706,2013,84.10
95051,2013,83.49
94112,2013,81.76
94304,2013,85.00
94930,2013,85.98
95412,2013,82.92
94074,2013,83.03
95448,2013,81.92
94518,2013,80.54
94573,2013,80.07
95444,2013,82.40
94707,2013,84.44
94103,2013,73.46
95125,2013,81.78
94560,2013,82.51
95116,2013,82.64
95120,2013,84.73
95020,2013,81.07
94526,2013,84.11
94107,2013,82.54
95133,2013,82.28
94530,2013,83.53
94102,2013,76.23
94589,2013,78.05
94561,2013,78.05
94525,2013,79.84
94085,2013,82.91
94019,2013,83.03
94973,2013,85.98
94521,2013,80.38
94708,2013,85.37
94041,2013,83.53
